nightPricePK,instantBookable,cancellationPolicy,nightPriceRange
1,Instant Bookable Not Available,moderate,0-49.99
2,Instant Bookable Not Available,moderate,50-99.99
3,Instant Bookable Not Available,moderate,100-149.99
4,Instant Bookable Not Available,moderate,150-199.99
5,Instant Bookable Not Available,moderate,200-299.99
6,Instant Bookable Not Available,moderate,>300
7,Instant Bookable Not Available,strict,0-49.99
8,Instant Bookable Not Available,strict,50-99.99
9,Instant Bookable Not Available,strict,100-149.99
10,Instant Bookable Not Available,strict,150-199.99
11,Instant Bookable Not Available,strict,200-299.99
12,Instant Bookable Not Available,strict,>300
13,Instant Bookable Not Available,flexible,0-49.99
14,Instant Bookable Not Available,flexible,50-99.99
15,Instant Bookable Not Available,flexible,100-149.99
16,Instant Bookable Not Available,flexible,150-199.99
17,Instant Bookable Not Available,flexible,200-299.99
18,Instant Bookable Not Available,flexible,>300
19,Instant Bookable Available,strict,0-49.99
20,Instant Bookable Available,strict,50-99.99
21,Instant Bookable Available,strict,100-149.99
22,Instant Bookable Available,strict,150-199.99
23,Instant Bookable Available,strict,200-299.99
24,Instant Bookable Available,strict,>300
25,Instant Bookable Available,moderate,0-49.99
26,Instant Bookable Available,moderate,50-99.99
27,Instant Bookable Available,moderate,100-149.99
28,Instant Bookable Available,moderate,150-199.99
29,Instant Bookable Available,moderate,200-299.99
30,Instant Bookable Available,moderate,>300
31,Instant Bookable Available,flexible,0-49.99
32,Instant Bookable Available,flexible,50-99.99
33,Instant Bookable Available,flexible,100-149.99
34,Instant Bookable Available,flexible,150-199.99
35,Instant Bookable Available,flexible,200-299.99
36,Instant Bookable Available,flexible,>300
